2025-10-20->00:00 | 00:00:02  
2025-10-20->19:00 | 19:00:13 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:13 ...... buscando en directorio 0801 - CMAC Piura
2025-10-20->19:00 | 19:00:14 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:14 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-20->19:00 | 19:00:14 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:14 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-20->19:00 | 19:00:14 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:14 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-20->19:00 | 19:00:15 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:15 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-20->19:00 | 19:00:15 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:15 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-20->19:00 | 19:00:16 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:16 ...... buscando en directorio 0809 - CMAC Ica
2025-10-20->19:00 | 19:00:16 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:16 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-20->19:00 | 19:00:17 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:17 ...... buscando en directorio 0849 - CMAC Los Andes
2025-10-20->19:00 | 19:00:17 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-20->19:00 | 19:00:17 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:17 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-20->19:00 | 19:00:18 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:18 ...... buscando en directorio 0922 - GMoney
2025-10-20->19:00 | 19:00:18 ......... sin archivos a procesar.
2025-10-20->19:00 | 19:00:18 ... 
2025-10-20->19:00 | 19:00:18 ... procesando los archivos ctl encontrados
2025-10-20->19:00 | 19:00:18 ...... no existen archivos para descargar.
2025-10-20->19:00 | 19:00:18  
2025-10-20->19:00 | 19:00:18 Procesamiento de Archivos
2025-10-20->19:00 | 19:00:18 -------------------------
2025-10-20->19:00 | 19:00:18 ...
2025-10-20->19:00 | 19:00:18 ... no existen archivos para procesar.
2025-10-20->19:10 | 19:10:01  
2025-10-20->19:10 | 19:10:01 Inicio de Verificación y Descarga de Archivos
2025-10-20->19:10 | 19:10:01 ---------------------------------------------
2025-10-20->19:10 | 19:10:01 ...
2025-10-20->19:10 | 19:10:01 ... validando conexion servidor SFTP : 192.168.10.51
2025-10-20->19:10 | 19:10:01 ...... conexión OK.
2025-10-20->19:10 | 19:10:01 ... 
2025-10-20->19:10 | 19:10:01 ... verificando en servidor sftp existencia de archivos a procesar
2025-10-20->19:10 | 19:10:01 ... 
2025-10-20->19:10 | 19:10:01 ...... buscando en directorio 0002 - BCP
2025-10-20->19:10 | 19:10:02 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:02 ...... buscando en directorio 0003 - Interbank
2025-10-20->19:10 | 19:10:02 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:02 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-20->19:10 | 19:10:03 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-20->19:10 | 19:10:03 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:03 ...... buscando en directorio 0007 - Citibank
2025-10-20->19:10 | 19:10:04 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-20->19:10 | 19:10:04 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:04 ...... buscando en directorio 0011 - BBVA
2025-10-20->19:10 | 19:10:04 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:04 ...... buscando en directorio 0018 - BN
2025-10-20->19:10 | 19:10:05 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:05 ...... buscando en directorio 0023 - Comercio
2025-10-20->19:10 | 19:10:05 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:05 ...... buscando en directorio 0035 - Pichincha
2025-10-20->19:10 | 19:10:06 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:06 ...... buscando en directorio 0038 - Banbif
2025-10-20->19:10 | 19:10:06 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:06 ...... buscando en directorio 0043 - Crediscotia
2025-10-20->19:10 | 19:10:07 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:07 ...... buscando en directorio 0049 - Mi Banco
2025-10-20->19:10 | 19:10:07 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:07 ...... buscando en directorio 0053 - GNB
2025-10-20->19:10 | 19:10:07 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:07 ...... buscando en directorio 0054 - Falabella
2025-10-20->19:10 | 19:10:08 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:08 ...... buscando en directorio 0055 - Ripley
2025-10-20->19:10 | 19:10:08 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:08 ...... buscando en directorio 0056 - Santander
2025-10-20->19:10 | 19:10:09 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:09 ...... buscando en directorio 0058 - Alfin
2025-10-20->19:10 | 19:10:09 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:09 ...... buscando en directorio 0073 - Credinka
2025-10-20->19:10 | 19:10:10 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:10 ...... buscando en directorio 0091 - Compartamos
2025-10-20->19:10 | 19:10:10 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:10 ...... buscando en directorio 0094 - Oh
2025-10-20->19:10 | 19:10:10 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:10 ...... buscando en directorio 0096 - Efectiva
2025-10-20->19:10 | 19:10:11 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:11 ...... buscando en directorio 0099 - Confianza
2025-10-20->19:10 | 19:10:11 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:11 ...... buscando en directorio 0775 - Luqea
2025-10-20->19:10 | 19:10:12 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:12 ...... buscando en directorio 0776 - Prexpe
2025-10-20->19:10 | 19:10:12 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:12 ...... buscando en directorio 0800 - CMAC Metropolitana
2025-10-20->19:10 | 19:10:13 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:13 ...... buscando en directorio 0801 - CMAC Piura
2025-10-20->19:10 | 19:10:13 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:13 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-20->19:10 | 19:10:13 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:13 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-20->19:10 | 19:10:14 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:14 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-20->19:10 | 19:10:14 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:14 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-20->19:10 | 19:10:15 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:15 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-20->19:10 | 19:10:15 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:15 ...... buscando en directorio 0809 - CMAC Ica
2025-10-20->19:10 | 19:10:16 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:16 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-20->19:10 | 19:10:16 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:16 ...... buscando en directorio 0849 - CMAC Los Andes
2025-10-20->19:10 | 19:10:16 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-20->19:10 | 19:10:17 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:17 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-20->19:10 | 19:10:17 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:17 ...... buscando en directorio 0922 - GMoney
2025-10-20->19:10 | 19:10:18 ......... sin archivos a procesar.
2025-10-20->19:10 | 19:10:18 ... 
2025-10-20->19:10 | 19:10:18 ... procesando los archivos ctl encontrados
2025-10-20->19:10 | 19:10:18 ...... no existen archivos para descargar.
2025-10-20->19:10 | 19:10:18  
2025-10-20->19:10 | 19:10:18 Procesamiento de Archivos
2025-10-20->19:10 | 19:10:18 -------------------------
2025-10-20->19:10 | 19:10:18 ...
2025-10-20->19:10 | 19:10:18 ... no existen archivos para procesar.
2025-10-20->19:20 | 19:20:01  
2025-10-20->19:20 | 19:20:01 Inicio de Verificación y Descarga de Archivos
2025-10-20->19:20 | 19:20:01 ---------------------------------------------
2025-10-20->19:20 | 19:20:01 ...
2025-10-20->19:20 | 19:20:01 ... validando conexion servidor SFTP : 192.168.10.51
2025-10-20->19:20 | 19:20:02 ...... conexión OK.
2025-10-20->19:20 | 19:20:02 ... 
2025-10-20->19:20 | 19:20:02 ... verificando en servidor sftp existencia de archivos a procesar
2025-10-20->19:20 | 19:20:02 ... 
2025-10-20->19:20 | 19:20:02 ...... buscando en directorio 0002 - BCP
2025-10-20->19:20 | 19:20:02 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:02 ...... buscando en directorio 0003 - Interbank
2025-10-20->19:20 | 19:20:03 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:03 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-20->19:20 | 19:20:03 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-20->19:20 | 19:20:04 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:04 ...... buscando en directorio 0007 - Citibank
2025-10-20->19:20 | 19:20:04 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-20->19:20 | 19:20:05 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:05 ...... buscando en directorio 0011 - BBVA
2025-10-20->19:20 | 19:20:05 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:05 ...... buscando en directorio 0018 - BN
2025-10-20->19:20 | 19:20:05 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:05 ...... buscando en directorio 0023 - Comercio
2025-10-20->19:20 | 19:20:06 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:06 ...... buscando en directorio 0035 - Pichincha
2025-10-20->19:20 | 19:20:06 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:06 ...... buscando en directorio 0038 - Banbif
2025-10-20->19:20 | 19:20:07 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:07 ...... buscando en directorio 0043 - Crediscotia
2025-10-20->19:20 | 19:20:07 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:07 ...... buscando en directorio 0049 - Mi Banco
2025-10-20->19:20 | 19:20:08 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:08 ...... buscando en directorio 0053 - GNB
2025-10-20->19:20 | 19:20:08 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:08 ...... buscando en directorio 0054 - Falabella
2025-10-20->19:20 | 19:20:08 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:08 ...... buscando en directorio 0055 - Ripley
2025-10-20->19:20 | 19:20:09 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:09 ...... buscando en directorio 0056 - Santander
2025-10-20->19:20 | 19:20:09 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:09 ...... buscando en directorio 0058 - Alfin
2025-10-20->19:20 | 19:20:10 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:10 ...... buscando en directorio 0073 - Credinka
2025-10-20->19:20 | 19:20:10 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:10 ...... buscando en directorio 0091 - Compartamos
2025-10-20->19:20 | 19:20:11 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:11 ...... buscando en directorio 0094 - Oh
2025-10-20->19:20 | 19:20:11 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:11 ...... buscando en directorio 0096 - Efectiva
2025-10-20->19:20 | 19:20:11 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:11 ...... buscando en directorio 0099 - Confianza
2025-10-20->19:20 | 19:20:12 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:12 ...... buscando en directorio 0775 - Luqea
2025-10-20->19:20 | 19:20:12 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:12 ...... buscando en directorio 0776 - Prexpe
2025-10-20->19:20 | 19:20:13 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:13 ...... buscando en directorio 0800 - CMAC Metropolitana
2025-10-20->19:20 | 19:20:13 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:13 ...... buscando en directorio 0801 - CMAC Piura
2025-10-20->19:20 | 19:20:14 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:14 ...... buscando en directorio 0802 - CMAC Trujillo
2025-10-20->19:20 | 19:20:14 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:14 ...... buscando en directorio 0803 - CMAC Arequipa
2025-10-20->19:20 | 19:20:14 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:14 ...... buscando en directorio 0805 - CMAC Sullana
2025-10-20->19:20 | 19:20:15 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:15 ...... buscando en directorio 0806 - CMAC Cuzco
2025-10-20->19:20 | 19:20:15 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:15 ...... buscando en directorio 0808 - CMAC Huancayo
2025-10-20->19:20 | 19:20:16 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:16 ...... buscando en directorio 0809 - CMAC Ica
2025-10-20->19:20 | 19:20:16 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:16 ...... buscando en directorio 0813 - CMAC Tacna
2025-10-20->19:20 | 19:20:17 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:17 ...... buscando en directorio 0849 - CMAC Los Andes
2025-10-20->19:20 | 19:20:17 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:17 ...... buscando en directorio 0910 - Coop Abaco
2025-10-20->19:20 | 19:20:17 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:18 ...... buscando en directorio 0921 - Tarjetas Peruanas
2025-10-20->19:20 | 19:20:18 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:18 ...... buscando en directorio 0922 - GMoney
2025-10-20->19:20 | 19:20:18 ......... sin archivos a procesar.
2025-10-20->19:20 | 19:20:18 ... 
2025-10-20->19:20 | 19:20:18 ... procesando los archivos ctl encontrados
2025-10-20->19:20 | 19:20:18 ...... no existen archivos para descargar.
2025-10-20->19:20 | 19:20:18  
2025-10-20->19:20 | 19:20:18 Procesamiento de Archivos
2025-10-20->19:20 | 19:20:18 -------------------------
2025-10-20->19:20 | 19:20:18 ...
2025-10-20->19:20 | 19:20:18 ... no existen archivos para procesar.
2025-10-20->19:30 | 19:30:01  
2025-10-20->19:30 | 19:30:01 Inicio de Verificación y Descarga de Archivos
2025-10-20->19:30 | 19:30:01 ---------------------------------------------
2025-10-20->19:30 | 19:30:01 ...
2025-10-20->19:30 | 19:30:01 ... validando conexion servidor SFTP : 192.168.10.51
2025-10-20->19:30 | 19:30:01 ...... conexión OK.
2025-10-20->19:30 | 19:30:01 ... 
2025-10-20->19:30 | 19:30:01 ... verificando en servidor sftp existencia de archivos a procesar
2025-10-20->19:30 | 19:30:01 ... 
2025-10-20->19:30 | 19:30:01 ...... buscando en directorio 0002 - BCP
2025-10-20->19:30 | 19:30:02 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:02 ...... buscando en directorio 0003 - Interbank
2025-10-20->19:30 | 19:30:02 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:02 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-20->19:30 | 19:30:03 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-20->19:30 | 19:30:03 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:03 ...... buscando en directorio 0007 - Citibank
2025-10-20->19:30 | 19:30:04 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-20->19:30 | 19:30:04 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:04 ...... buscando en directorio 0011 - BBVA
2025-10-20->19:30 | 19:30:05 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:05 ...... buscando en directorio 0018 - BN
2025-10-20->19:30 | 19:30:05 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:05 ...... buscando en directorio 0023 - Comercio
2025-10-20->19:30 | 19:30:05 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:05 ...... buscando en directorio 0035 - Pichincha
2025-10-20->19:30 | 19:30:06 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:06 ...... buscando en directorio 0038 - Banbif
2025-10-20->19:30 | 19:30:06 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:06 ...... buscando en directorio 0043 - Crediscotia
2025-10-20->19:30 | 19:30:07 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:07 ...... buscando en directorio 0049 - Mi Banco
2025-10-20->19:30 | 19:30:07 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:07 ...... buscando en directorio 0053 - GNB
2025-10-20->19:30 | 19:30:08 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:08 ...... buscando en directorio 0054 - Falabella
2025-10-20->19:30 | 19:30:08 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:08 ...... buscando en directorio 0055 - Ripley
2025-10-20->19:30 | 19:30:08 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:08 ...... buscando en directorio 0056 - Santander
2025-10-20->19:30 | 19:30:09 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:09 ...... buscando en directorio 0058 - Alfin
2025-10-20->19:30 | 19:30:09 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:09 ...... buscando en directorio 0073 - Credinka
2025-10-20->19:30 | 19:30:10 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:10 ...... buscando en directorio 0091 - Compartamos
2025-10-20->19:30 | 19:30:10 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:10 ...... buscando en directorio 0094 - Oh
2025-10-20->19:30 | 19:30:11 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:11 ...... buscando en directorio 0096 - Efectiva
2025-10-20->19:30 | 19:30:11 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:11 ...... buscando en directorio 0099 - Confianza
2025-10-20->19:30 | 19:30:11 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:11 ...... buscando en directorio 0775 - Luqea
2025-10-20->19:30 | 19:30:12 ......... sin archivos a procesar.
2025-10-20->19:30 | 19:30:12 ...... buscando en directorio 0776 - Prexpe
